id;kode_provinsi;nama_provinsi;wilayah_pengadilan_agama;faktor_penyebab;jumlah_perceraian;satuan;tahun
1;32;JAWA BARAT;BANDUNG;MABUK;11;KASUS;2017
2;32;JAWA BARAT;BANDUNG;JUDI;1;KASUS;2017
3;32;JAWA BARAT;BANDUNG;MENINGGALKAN SALAH SATU;504;KASUS;2017
4;32;JAWA BARAT;BANDUNG;POLIGAMI;112;KASUS;2017
5;32;JAWA BARAT;BANDUNG;KEKERASAN DALAM RUMAH TANGGA;39;KASUS;2017
6;32;JAWA BARAT;BANDUNG;PERSELISIHAN & PERTENGKARAN TERUS MENERUS;3102;KASUS;2017
7;32;JAWA BARAT;BANDUNG;KAWIN PAKSA;338;KASUS;2017
8;32;JAWA BARAT;BANDUNG;EKONOMI;1313;KASUS;2017
9;32;JAWA BARAT;BEKASI;ZINA;3;KASUS;2017
10;32;JAWA BARAT;BEKASI;MABUK;5;KASUS;2017
11;32;JAWA BARAT;BEKASI;MENINGGALKAN SALAH SATU;124;KASUS;2017
12;32;JAWA BARAT;BEKASI;DIHUKUM PENJARA;2;KASUS;2017
13;32;JAWA BARAT;BEKASI;POLIGAMI;122;KASUS;2017
14;32;JAWA BARAT;BEKASI;KEKERASAN DALAM RUMAH TANGGA;13;KASUS;2017
15;32;JAWA BARAT;BEKASI;PERSELISIHAN & PERTENGKARAN TERUS MENERUS;245;KASUS;2017
16;32;JAWA BARAT;BEKASI;MURTAD;9;KASUS;2017
17;32;JAWA BARAT;BEKASI;EKONOMI;120;KASUS;2017
18;32;JAWA BARAT;BOGOR;MENINGGALKAN SALAH SATU;135;KASUS;2017
19;32;JAWA BARAT;BOGOR;DIHUKUM PENJARA;1;KASUS;2017
20;32;JAWA BARAT;BOGOR;POLIGAMI;1;KASUS;2017
21;32;JAWA BARAT;BOGOR;KEKERASAN DALAM RUMAH TANGGA;5;KASUS;2017
22;32;JAWA BARAT;BOGOR;PERSELISIHAN & PERTENGKARAN TERUS MENERUS;102;KASUS;2017
23;32;JAWA BARAT;BOGOR;EKONOMI;92;KASUS;2017
24;32;JAWA BARAT;BOGOR;LAIN-LAIN;191;KASUS;2017
25;32;JAWA BARAT;CIAMIS;MABUK;1;KASUS;2017
26;32;JAWA BARAT;CIAMIS;MENINGGALKAN SALAH SATU;32;KASUS;2017
27;32;JAWA BARAT;CIAMIS;KEKERASAN DALAM RUMAH TANGGA;1;KASUS;2017
28;32;JAWA BARAT;CIAMIS;PERSELISIHAN & PERTENGKARAN TERUS MENERUS;373;KASUS;2017
29;32;JAWA BARAT;CIAMIS;EKONOMI;3619;KASUS;2017
30;32;JAWA BARAT;CIAMIS;LAIN-LAIN;232;KASUS;2017
31;32;JAWA BARAT;CIANJUR;MENINGGALKAN SALAH SATU;386;KASUS;2017
32;32;JAWA BARAT;CIANJUR;PERSELISIHAN & PERTENGKARAN TERUS MENERUS;215;KASUS;2017
33;32;JAWA BARAT;CIANJUR;EKONOMI;620;KASUS;2017
34;32;JAWA BARAT;CIANJUR;LAIN-LAIN;47;KASUS;2017
35;32;JAWA BARAT;CIBADAK;MADAT;1;KASUS;2017
36;32;JAWA BARAT;CIBADAK;MENINGGALKAN SALAH SATU;169;KASUS;2017
37;32;JAWA BARAT;CIBADAK;DIHUKUM PENJARA;1;KASUS;2017
38;32;JAWA BARAT;CIBADAK;POLIGAMI;1;KASUS;2017
39;32;JAWA BARAT;CIBADAK;KEKERASAN DALAM RUMAH TANGGA;3;KASUS;2017
40;32;JAWA BARAT;CIBADAK;CACAT BADAN;1;KASUS;2017
41;32;JAWA BARAT;CIBADAK;PERSELISIHAN & PERTENGKARAN TERUS MENERUS;566;KASUS;2017
42;32;JAWA BARAT;CIBADAK;MURTAD;10;KASUS;2017
43;32;JAWA BARAT;CIBADAK;EKONOMI;277;KASUS;2017
44;32;JAWA BARAT;CIBINONG;ZINA;5;KASUS;2017
45;32;JAWA BARAT;CIBINONG;MABUK;20;KASUS;2017
46;32;JAWA BARAT;CIBINONG;MADAT;3;KASUS;2017
